username,tweet,remove_user,value,,,,
michaelarri1,@linkaja Selama pandemi menggunakan link aja lbih menguntungkan karena tidak cape #lengkapnyauntuksemua #PengalamanBaru  @linkaja, Selama pandemi menggunakan link aja lbih menguntungkan karena tidak cape #lengkapnyauntuksemua #PengalamanBaru  ,positif,,,,
syafak_08,@linkaja Selama pandemi saya lebih mudah melakukan transaksi dari rumah dan tdk perlu keluar rumah  #PengalamanBaru #LengkapnyaUntukSemua #linkaja, Selama pandemi saya lebih mudah melakukan transaksi dari rumah dan tdk perlu keluar rumah  #PengalamanBaru #LengkapnyaUntukSemua #linkaja,positif,,,,
alfiannoorrully,@linkaja Selama pandemi banyak memunculkan gagasan ide baru untuk berusaha lebih lagi buat kemajuan usaha yg sedang di rintis untung dipermudah dengan adanya @linkaja transfer pun cepat urusannya #PengalamanBaru #lengkapnyauntuksemua  #linkaja, Selama pandemi linkaja banyak memunculkan gagasan ide baru untuk berusaha lebih lagi buat kemajuan usaha yg sedang di rintis,,,,,
saya41567840,@linkaja  Suka banget dengan aplikasi ini semakin mudah di era digital dan saat pandemi seperti ini serba mudah #PengalamanBaru  #lengkapnyauntuksemua @linkaja,  Suka banget dengan aplikasi ini,,,,,
murnisukabiru,@linkaja Pandemi ini membuat aq #dirumahaja  bekerja online merupakan #PengalamanBaru buat aku karena @linkaja aku bisa bertransaksi online dengan mudah  aplikasi yang mempunyai fitur banyak maka #lengkapnyauntuksemua 😍, Pandemi ini membuat aq #dirumahaja ,,,,,
apuje2,"@linkaja Selama pandemi semua dilakukan dirumah.. jadi suka baca buku.. untung pembayaran"" online bisa dilakukan di @linkaja jadi ga perlu keluar rumah #PengalamanBaru #lengkapnyauntuksemua"," Selama pandemi semua dilakukan dirumah.. jadi suka baca buku.. untung pembayaran"" online bisa dilakukan di linkaja jadi ga perlu keluar rumah #PengalamanBaru #lengkapnyauntuksemua",positif,,,,
jamaisvu_sky,@linkaja pengalamanya selama pandemi ini saya mendownload Aplikasi LinkAjamembuat segala kesusahan menjadi mudah seperti contoh melakukan transfer uang #lengkapnyauntuksemua  #PengalamanBaru @linkaja, pengalamanya selama pandemi ini saya mendownload Aplikasi LinkAja,,,,,
nhrrrrrri,@linkaja Ga nyangka ya dari satu aplikasi kita bisa melakukan semuanya salahsatunya buat kita yang ingin makan makanan sehat di era pandemi seperti ini membayar gofood pake @linkaja jadi mudah tanpa takut terpapar virus ini merupakan #PengalamanBaru dan y, Ga nyangka ya,,,,,
rickysi95745641,Di masa Pandemi ini gue bosan di rumah dan mulai membaca bukubelajar fotobelajar masakbahkan gemar olahraga seperti sepeda.Untuk urusan bayar2 saya tidak repot karena ada @linkaja yang bisa akses kemana aja. #pengalamanbaru  #lengkapnyauntuksemua,Di masa Pandemi ini gue bosan di rumah dan mulai membaca buku,,,,,
punkmonk14,@linkaja Pandemi banyak waktu luangsaya memutuskan untuk bisnis hewan peliharaanmeskipun susah di awal awal alhamdullilah mulai naik omset penjualandan untuk pembayaran listrik kandang saya menggunakan @linkaja lebih enak aja pake nya ga ribet.  #Pengalam, Pandemi banyak waktu luang,,,,,
asepsun12,@linkaja #PengalamanBaru di masa pandemi ini saya mengunakan @linkaja membuat semua jadi mudah dan episien tak perlu melakukan keluar rumah dan kita hanya cukup cari di sini dengan satu kali klik kita bisa menjelajahi apa saja yang kita cari #dirumahaja  , #PengalamanBaru di masa pandemi ini saya mengunakan linkaja membuat semua jadi mudah dan episien tak perlu melakukan keluar rumah dan kita hanya cukup cari di sini dengan satu kali klik kita bisa menjelajahi apa saja yang kita cari #dirumahaja  #lengkapnyauntuksemua ,positif,,,,
nnaxf,@linkaja Pandemi gini bikin banyak waktu #dirumahaja dan juga ngasih pengalaman yang ga akan dilupain. Apalagi sekarang jadi suka masak karna pandemi apalagi jadi gampang kalo mau beli apa aja atau top up pake @linkaja. #PengalamanBaru #LengkapnyaUntukSem, Pandemi gini bikin banyak waktu #dirumahaja dan juga ngasih pengalaman yang ga akan dilupain. Apalagi sekarang jadi suka masak karna pandemi,,,,,
trustyraaaaa,@linkaja selama pandemi ini aku banyak melakukan aktivitas rumah seperti memasak mendekor kamar merapikan kamar dan tidak lupa juga berolahraga. tak kalah menarik aku juga menggunakan aplikasi @linkaja untuk melakukan pembayaran online. #PengalamanBaru #l, selama pandemi ini aku banyak melakukan aktivitas rumah seperti memasak,,,,,
suit_kece,@linkaja hobby istri gw tuh nge mall dan saat kondisi spt saat ini pandemi agak worry buat setiap transaksi cash.. untung ada @linkaja apalagi banyak promonya 👌 #pengalamanbaru #lengkapnyauntuksemua, hobby istri gw tuh nge mall,,,,,
fadilatur11,@linkaja Semenjak pandemi aku jadi suka baca buku belajar fotografi belajar masak sama mama. Untuk aktivitas online aku juga sering pakai aplikasi @linkaja #pengalamanbaru #lengkapnyauntuksemua #linkaja, Semenjak pandemi aku jadi suka baca buku,,,,,
sucinurfauzi,@linkaja Selama di rumah berkat LinkAja semua transaksi jadi lebih mudah dan nyaman. Bahkan saya buka usaha jual pulsa dari LinkAja. Terima kasih selama pandemi ini saya jadi dapet keuntungan., Selama di rumah,,,,,
yapana5,@linkaja #Lengkapnyauntuksemua Terimakasih @linkaja atas peformanya di masa masa pandemi ini dgn adanya linkaja sangat membantu dlm bertransaksi, #Lengkapnyauntuksemua Terimakasih  atas peformanya di masa masa pandemi ini dgn adanya linkaja sangat membantu dlm bertransaksi,positif,,,,
ardyanmj1,@linkaja Inspiratif sekali bisa jadi solusi saat pandemi begini #lengkapnyauntuksemua,linkaja Inspiratif sekali,,,,,
yangmakanindomi,@linkaja Apakah link aja bisa memperbaiki fitur untuk transaksinya bisa lebih banyak atau lebih lama dikarenakan jika harus mengunjungi grapari sangat merepotkan dan saat ini masa pandemi. Tolong di bantu min, Apakah link aja bisa memperbaiki fitur untuk transaksinya bisa lebih banyak atau lebih lama dikarenakan jika harus mengunjungi grapari sangat merepotkan dan saat ini masa pandemi. Tolong di bantu min,negatif,,,,
dorenareynold41,Lagi pandemi kurang-kurangin transaksi pake uang tunai. Mending bayarnya pake @linkaja . #LengkapnyaUntukSemua  https://t.co/olbg1p03tt  https://t.co/ZZIiZmHA5D,Lagi pandemi kurang-kurangin transaksi pake uang tunai. Mending bayarnya pake linkaja . #LengkapnyaUntukSemua  https://t.co/olbg1p03tt  https://t.co/ZZIiZmHA5D,positif,,,,
jual_headset,@linkaja emang selalu ngasih solusi banget nih buat bayar apa aja jadi bisa ngurangin transaksi tunai pas pandemi kaya gini #lengkapnyauntuksemua  https://t.co/Ar3yyWwndW,linkaja emang selalu ngasih solusi banget nih buat bayar apa aja,,,,,
ongmasian,Kondisi pandemi emang harus juga ngurangin pembayaran tunai demi kesehatan bersama makanya aku kalo bayar apa aja selalu pake @linkaja #LengkapnyaUntukSemua  https://t.co/ulvVJNfpKX  https://t.co/AVYNEgQd6T,Kondisi pandemi emang harus juga ngurangin pembayaran tunai demi kesehatan bersama,,,,,
violavivi14,dimasa pandemi gini memang pelru hati hati sih melakukan pembyaran apalgi dari uang cash takutnya menyebarkan virus mending pake linkaja bayarnya @linkaja bisa juga untuk KRL loh #LengkapnyaUntukSemua  https://t.co/jqjXFo55FI  https://t.co/qHcBFJCezX,dimasa pandemi gini memang pelru hati hati sih,,,,,
beatsmirari384,Harus kurangin penggunaan uang tunai di masa pandemi gini. Makanya pilih @linkaja buat bayar ojol. #LengkapnyaUntukSemua  https://t.co/q4Y1iZ3o5d  https://t.co/AeFvCWWv7H,Harus kurangin penggunaan uang tunai di masa pandemi gini. Makanya pilih linkaja buat bayar ojol. #LengkapnyaUntukSemua  https://t.co/q4Y1iZ3o5d  https://t.co/AeFvCWWv7H,positif,,,,
koranbumn,Masa Pandemi Covid-19 Pengguna Terdaftar LinkAja Naik 23 Persen  https://t.co/kJktHTBz1E @linkaja @KemenBUMN @Telkomsel,Masa Pandemi Covid-19,,,,,
hanyadavidsaja,@linkaja Belanja dimana aja bisa dengan LinkAja benar-benar memudahkan terutama di masa pandemi seperti sekarang cashless lebih baik. #Lengkapnyauntuksemua, Belanja dimana aja bisa dengan LinkAja,,,,,
kelvinmp_wwe,@linkaja LinkAja sangat inspiratif sekali recommended app banget untuk dimasa pandemi seperi sekarang semuanya serba mudah. Belanja dimana aja bisa dengan LinkAja   #LengkapnyaUntukSemua, LinkAja sangat inspiratif sekali,,,,,
odotfcp,@linkaja aplikasi yang sangat membantu dimasa pandemi seperti ini dompet digital yg sangat mudah dan gak ribet #lengkapnyauntuksemua, aplikasi yang sangat membantu dimasa pandemi seperti ini,,,,,
irhmy_08,@linkaja @linkaja knapa pulsa saya 100rb udah lebih dri 3x24 jam ditunggu juga ga masuk jgn merugikan pelanggan apalagi dimasa-masa pandemi kyk gini,  knapa pulsa saya 100rb udah lebih dri 3x24 jam ditunggu juga ga masuk,,,,,
qnonk_,Dear @linkaja  Akun saya terblokir dan sdh tlp cc tp solusinya suruh dtg ke grapari karena no tlp yg terdaftar bukan no tsel. Padahal lagi pandemi dan disuruh di rumah aja tolong lah solusi nya biar ga harus keluar rumah dan memutus rantai penularan.,Dear linkaja Akun saya terblokir dan sdh tlp cc tp solusinya suruh dtg ke grapari karena no tlp yg terdaftar bukan no tsel. Padahal lagi pandemi dan disuruh di rumah aja,,,,,
